file_name	seed	formula_x	formula_y
2018-11-17-13-11_seed_2543.png	2543	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2018-11-17-13-11_seed_2313.png	2313	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2018-11-17-13-12_seed_1104.png	1104	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-12_seed_392.png	392	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-13_seed_7958.png	7958	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-13_seed_7252.png	7252	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-13_seed_8032.png	8032	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-17_seed_2787.png	2787	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-17_seed_1176.png	1176	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-17_seed_3073.png	3073	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-17_seed_9309.png	9309	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-17_seed_7535.png	7535	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-18_seed_7423.png	7423	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-18_seed_8356.png	8356	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-18_seed_3255.png	3255	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-18_seed_9228.png	9228	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-19_seed_1759.png	1759	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-19_seed_8994.png	8994	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-17-13-19_seed_469.png	469	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-17-13-20_seed_4182.png	4182	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-17-13-20_seed_2638.png	2638	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-17-13-20_seed_3403.png	3403	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-17-23-41_seed_1820.png	1820	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
